static_type,P_RR,P_RW,P_WR,P_WW,|lambda_2|,|lambda_2|^6,pi0_R,pi0_W,stationary_R,pred_piT_R,emp_piT_R,anchor_gap_R,TV_dist
Answer,0.4982,0.5018,0.3671,0.6329,0.1311,0.0,1.0,0.0,0.4225,0.4225,0.302,-0.1205,0.1205
AreYouSure,0.7681,0.2319,0.4191,0.5809,0.349,0.0018,1.0,0.0,0.6438,0.6444,0.547,-0.0974,0.0974
Feedback,0.3964,0.6036,0.2958,0.7042,0.1006,0.0,1.0,0.0,0.3289,0.3289,0.349,0.0201,0.0201
Mimicry,0.0679,0.9321,0.3133,0.6867,0.2454,0.0002,1.0,0.0,0.2516,0.2517,0.128,-0.1237,0.1237
All,0.4991,0.5009,0.334,0.666,0.165,0.0,1.0,0.0,0.4001,0.4001,0.332,-0.0681,0.0681
