static_type,P_RR,P_RW,P_WR,P_WW,|lambda_2|,|lambda_2|^6,pi0_R,pi0_W,stationary_R,pred_piT_R,emp_piT_R,anchor_gap_R,TV_dist
Answer,0.9858,0.0142,0.625,0.375,0.3608,0.0022,1.0,0.0,0.9778,0.9778,0.977,-0.0008,0.0008
AreYouSure,0.994,0.006,1.0,0.0,0.006,0.0,1.0,0.0,0.994,0.994,0.988,-0.006,0.006
Feedback,0.9823,0.0177,0.2703,0.7297,0.7121,0.1304,1.0,0.0,0.9387,0.9467,0.953,0.0063,0.0063
Mimicry,0.7307,0.2693,0.4422,0.5578,0.2884,0.0006,1.0,0.0,0.6215,0.6217,0.674,0.0523,0.0523
All,0.9385,0.0615,0.4444,0.5556,0.494,0.0145,1.0,0.0,0.8784,0.8801,0.898,0.0179,0.0179
