static_type,P_RR,P_RW,P_WR,P_WW,|lambda_2|,|lambda_2|^6,pi0_R,pi0_W,stationary_R,pred_piT_R,emp_piT_R,anchor_gap_R,TV_dist
Answer,0.9584,0.0416,0.4677,0.5323,0.4907,0.014,1.0,0.0,0.9184,0.9195,0.942,0.0225,0.0225
AreYouSure,0.9899,0.0101,1.0,0.0,0.0101,0.0,1.0,0.0,0.99,0.99,0.988,-0.002,0.002
Feedback,0.8835,0.1165,0.2886,0.7114,0.5949,0.0443,1.0,0.0,0.7123,0.7251,0.791,0.0659,0.0659
Mimicry,0.8618,0.1382,0.855,0.145,0.0068,0.0,1.0,0.0,0.8608,0.8608,0.953,0.0922,0.0922
All,0.9267,0.0733,0.5149,0.4851,0.4118,0.0049,1.001,0.0,0.8753,0.8768,0.919,0.0422,0.0422
