static_type,P_RR,P_RW,P_WR,P_WW,|lambda_2|,|lambda_2|^6,pi0_R,pi0_W,stationary_R,pred_piT_R,emp_piT_R,anchor_gap_R,TV_dist
Answer,0.996,0.004,0.6667,0.3333,0.3293,0.0013,1.0,0.0,0.994,0.994,1.0,0.006,0.006
AreYouSure,0.9838,0.0162,1.0,0.0,0.0162,0.0,1.0,0.0,0.984,0.984,0.988,0.004,0.004
Feedback,0.7592,0.2408,0.6559,0.3441,0.1033,0.0,1.0,0.0,0.7315,0.7315,0.558,-0.1735,0.1735
Mimicry,0.5172,0.4828,0.3489,0.6511,0.1684,0.0,1.0,0.0,0.4195,0.4195,0.349,-0.0705,0.0705
All,0.8565,0.1435,0.4512,0.5488,0.4052,0.0044,1.0,0.0,0.7587,0.7597,0.724,-0.0357,0.0357
